File Name	Original Release Date	Latest Release Date	Original Release Size	Latest Release Size	
File	Name	Name	Date	Date	
mit-scheme-11.2-x86	2021-03-08	2021-03-08	77M	77M	
mit-scheme-12.1	2023-01-07	2023-01-07	91M	91M	
mit-scheme-12.1-doc	2023-01-07	2023-01-07	1.1M	1.1M	
mit-scheme-12.1-svm1	2023-01-07	2023-01-07	84M	84M	
mit-scheme-12.1-x86	2023-01-07	2023-01-07	92M	92M	
mit-scheme-7.7.90-doc	2004-01-01	2004-01-01	478K	478K	
mit-scheme-7.7.90-ix86-gnu	2004-01-01	2004-01-01	17M	17M	
mit-scheme-7.7.90	2004-01-01	2004-01-01	1.1M	1.1M	
mit-scheme-11.0.90	2020-06-21	2020-06-21	78M	78M	
mit-scheme-11.0.90-doc	2020-06-21	2020-06-29	2.8M	1.1M	
mit-scheme-11.0.90-svm1	2020-06-29	2020-06-29	72M	72M	
mit-scheme-11.0.90-x86	2020-06-29	2020-06-29	79M	79M	
mit-scheme-11.0.91	2021-01-24	2021-01-24	74M	74M	
mit-scheme-11.0.91-doc	2021-01-24	2021-01-24	1.1M	1.1M	
mit-scheme-11.0.91-svm1	2021-01-24	2021-01-24	68M	68M	
mit-scheme-11.0.91-x86	2021-01-24	2021-01-24	75M	75M	
mit-scheme-12.0.90	2022-12-23	2022-12-23	91M	91M	
mit-scheme-12.0.90-doc	2022-12-23	2022-12-23	1.1M	1.1M	
mit-scheme-12.0.90-svm1	2022-12-23	2022-12-23	84M	84M	
mit-scheme-12.0.90-x86	2022-12-23	2022-12-23	92M	92M	
moe	2009-02-21	2013-03-08	82K	92K	
motti	1999-02-23	2017-06-25	57K	539K	
mpc	2012-09-06	2022-12-16	609K	755K	
mpfr	2009-12-06	2023-08-22	1.3M	2.1M	
mtools	2009-03-10	2023-03-21	461K	533K	
myserver	2010-02-14	2011-07-16	2.8M	3.3M	
nano	2001-03-23	2023-01-18	340K	3.2M	
ncurses	1998-03-05	2022-12-31	1.2M	3.4M	
tack	2008-11-08	2018-01-27	154K	218K	
nettle	2010-09-07	2023-06-01	863K	2.3M	
abuse	1998-10-16	1998-10-16	2.4M	2.4M	
CAPA-5.1.3	2000-09-06	2000-09-06	544K	544K	
CAPA-5.1.6	2001-09-10	2001-09-10	834K	834K	
cvs	2005-07-15	2008-05-08	3.5M	3.3M	
doschk	1993-05-21	1993-05-21	14K	14K	
ispell	1995-10-19	1995-10-19	662K	662K	
maxima	1997-11-15	1997-11-15	2.4M	2.4M	
nethack	1996-07-19	1997-01-07	2.5M	2.5M	
pcl-gcl	1997-08-19	1997-08-19	440K	440K	
smail	1996-07-19	1999-09-20	737K	811K	
tile-forth	1991-11-13	1991-11-13	145K	145K	
ucblogo	1995-08-09	1998-11-03	214K	249K	
ocrad	2009-05-08	2011-01-10	93K	102K	
octave	1997-03-10	2023-11-06	3.2M	35M	
oleo	1994-06-04	2001-03-10	427K	779K	
orgadoc	2004-03-31	2023-03-27	182K	88K	
libosip2	2004-03-26	2022-10-12	564K	708K	
libosip2-3.0.3	2007-08-31	2007-08-31	640K	640K	
parted	2005-11-11	2011-05-30	1.5M	2.8M	
patch	1997-08-31	2018-02-06	129K	1.1M	
pem	2009-09-21	2011-08-16	180K	185K	
pexec	2009-06-28	2009-09-14	112K	109K	
pies	2009-12-12	2022-08-13	1.0M	1.7M	
plotutils	1997-09-25	2009-09-26	1.9M	3.5M	
poke	2021-02-26	2023-08-20	6.4M	7.2M	
proxyknife	2006-10-29	2007-09-24	721K	832K	
pspp	2005-08-03	2023-12-31	1.5M	10M	
psychosynth	2009-02-10	2012-04-02	12M	14M	
pth	1999-07-16	2006-06-08	235K	637K	
gnu-radius	2000-12-21	2002-08-19	706K	1.2M	
radius	2003-06-23	2008-12-17	1.6M	2.5M	
rcs	1995-06-16	2013-04-04	276K	1.2M	
readline-4.2	2001-04-16	2001-04-16	595K	595K	
readline-4.2a	2001-11-16	2001-11-16	638K	638K	
readline-8.0	2018-05-22	2018-12-20	2.8M	2.8M	
readline-8.1	2020-06-16	2020-11-17	2.8M	2.9M	
readline-8.2	2022-01-20	2022-09-09	2.9M	2.9M	
readline-doc	2002-07-17	2004-08-03	477K	1.2M	
recutils	2010-12-03	2022-04-16	1.2M	2.6M	
reftex	2007-03-12	2009-08-09	266K	284K	
remotecontrol	2013-01-10	2016-04-25	4.3M	1.3M	
rottlog	2010-03-19	2010-03-30	258K	255K	
rpge	2014-01-06	2014-01-06	1.8M	1.8M	
rush	2009-01-17	2022-07-16	736K	1.2M	
gc4.14	1999-09-06	1999-09-06	315K	315K	
sather	1999-11-04	2007-07-07	4.3M	5.3M	
sather-contrib	1999-09-06	1999-09-06	361K	361K	
sather-specification	2000-03-29	2000-03-29	64K	64K	
sather-tutorial	2000-03-29	2000-03-29	250K	250K	
sauce	1999-10-18	2001-03-23	61K	71K	
scm	2012-04-09	2020-02-16	862K	894K	
screen	1996-10-01	2023-08-17	368K	1.0M	
sed	1993-06-01	2022-11-06	91K	2.2M	
serveez	2001-01-13	2009-06-20	373K	666K	
